date,flag_load_ice,flag_unzip_ice,flag_load_ihs,flag_unzip_ihs,flag_load_solactive,flag_unzip_solactive
2025-12-02,0,0,1,0,1,0
2025-12-03,1,0,1,0,1,0
2025-12-04,1,0,1,0,1,0
2025-12-05,1,0,1,0,1,0
2025-12-06,0,0,0,0,0,0
2025-12-07,0,0,0,0,0,0
2025-12-08,1,0,1,0,1,0
2025-12-09,1,0,1,0,1,0
2025-12-10,1,0,1,0,1,0
2025-12-11,1,0,1,0,1,0
2025-12-12,1,0,1,0,1,0
2025-12-13,0,0,0,0,0,0
2025-12-14,0,0,0,0,0,0
2025-12-15,1,0,1,0,1,0
2025-12-16,1,0,1,0,1,0
2025-12-17,1,0,1,0,1,0
2025-12-18,1,0,1,0,1,0
2025-12-19,1,0,1,0,1,0
2025-12-20,0,0,0,0,0,0
2025-12-21,0,0,0,0,0,0
2025-12-22,1,0,1,0,1,0
2025-12-23,1,0,1,0,0,0
